userName;content;score;at;appVersion;;
UCIL OLOL LEHO [UOL];Kenapa Indosat ada tuyulnya sekarang pulsa tiba-tiba berkurang padahal saya tidak punya paket dan data seluler selalu mati,,, Apakah Indosat memelihara tuyul;1;02/02/2024 05.17;82.00.05;;
Pp.joaana;aplikasi ini sangat bagus;5;02/02/2024 05.16;82.00.05;;
Xeraphine;Tolong itu sistem login nomor utama dan nomor sekunder diaplikasi dihapuskan aja, cuma bikin ribet bikin repot ketika mau cek pulsa atau kuota antara nomor A dan nomor B. Selebihnya semua dah oke.;3;02/02/2024 05.13;0;;
Sugeng dian pamungkas;Sekarang pilihanya yg 30 hari naik terus harganya. Gak ada yg murah 🤦🤦;4;02/02/2024 05.13;0;;
Bang Tinus;murah;5;02/02/2024 05.11;81.16.00;;
Mela Diana;kadang lemot;4;02/02/2024 05.10;81.16.00;;
Riskik Lina;gabdem;5;02/02/2024 05.02;81.14.02;;
Herlan Ardiansyah;hebat;4;02/02/2024 04.50;82.00.05;;
Bahar Maroi;Bagus;4;02/02/2024 04.47;82.00.05;;
mang pecu;Pelayanan bayar bulanan, iseng isi pulsa buat keperluan penambahan paket, jumlah pulsa tidak ada di aplikasi;1;02/02/2024 04.45;81.02.01;;
Adelia Raidha;IM3 jaringannyaa jelek bangett, percumaa mode pesawat sama restart tetep ga ada sinyalnya,mana pulsa suka tiba tiba hilang padahal gadipake apa apa data juga off;1;02/02/2024 04.40;82.00.04;;
Hayato Hayato;Sinyal jelek rugi make m3 udah paket mahal sinyal busuk;1;02/02/2024 04.39;0;;
Adit Ainur Rozikin;Masa ga bisa registrasi padahal sudah isi pulsa 10k;1;02/02/2024 04.38;82.00.05;;
FF MIAW;👍;4;02/02/2024 04.34;0;;
Intan Purnama sari;Kerenkeren;4;02/02/2024 04.32;82.00.03;;
Kuderi Kud;hemat pulasnya;5;02/02/2024 04.32;82.00.05;;
Uray Feriadi Feri;saya puas;4;02/02/2024 04.32;0;;
Suroto Prayitno;sangat membantu;5;02/02/2024 04.25;82.00.05;;
M Abud;bagus banget;5;02/02/2024 04.20;82.00.04;;
Rian indra;bagus;5;02/02/2024 04.18;82.00.05;;
Danuja Bagaskara;saya baru beli internet tapi tidak bisa digunakan.;2;02/02/2024 04.15;82.00.05;;
Agung Santoso;mylm3 .sangat memuaskan;5;02/02/2024 04.14;81.16.00;;
Krisna Mukti;mau top up game tidak bisa;1;02/02/2024 04.10;82.00.05;;
SAYADISINIBUKANSAYA YOGYAKARTA AMAN;kalo bisa banyak penukaran koin yang dikit aja;5;02/02/2024 04.07;0;;
Egri Winda;Kecewa bangat sama kartu ini baru beli paket 100 gb tiba tiba habis Kecewa sekali dengan aplikasi ini;1;02/02/2024 04.06;82.00.02;;
Elvan Syaqi;ksh 4 dulu;4;02/02/2024 04.06;82.00.05;;
Alviyan Muntoha;baik sekali;5;02/02/2024 04.05;0;;
iqbal fikri;bagus;5;02/02/2024 03.52;81.04.00;;
D Star;Nah sudah ada perbaikan, fitur semakin lengkap, gak error lg... semoga kedepan lebih baik 👍;5;02/02/2024 03.43;0;;
Rizhal Prayoga;good;5;02/02/2024 03.41;81.15.00;;
AKUN YouTube;suka sama IM3 cuma gara'' ada Impoin jadi serasa punya Kouta darurat;5;02/02/2024 03.36;81.13.00;;
Yayuk Musarofah;Aplikasi g bener mau beli kuota padah data g dinyalain malah kesedot doang pulsanya kuota nya g nyampe;1;02/02/2024 03.36;82.00.03;;
Edo Erlangga;mantap;5;02/02/2024 03.36;82.00.05;;
Ahwan Setiawan;jelek bgt;1;02/02/2024 03.34;0;;
Purnama Laluyan;sangat memuaskan;5;02/02/2024 03.33;82.00.05;;
Risma 124;sangat baik;5;02/02/2024 03.33;82.00.05;;
Nauffal Abyan;Gak jelas ini paket kuota darurat, saya mengambil kuota darurat yang 2gb tapi yang bisa di pakai cuma 1gb dan 1gb lagi tidak bisa di pakai sama sekali ini gimana sih;1;02/02/2024 03.27;82.00.05;;
Nova Fitriani;sangat membantu;4;02/02/2024 03.10;81.03.02;;
Aldi Ardiansyah;Kok semenjak gua pake im3 susah banget ngakses Internet harus pake login indosat segala lagi padahal sebelumnya gak gitu;1;02/02/2024 03.07;0;;
Lisna Sari;Udh download pas mau log in masuk ga bisa ,ga ada otp nya ga terkirim di sms nya;2;02/02/2024 03.01;82.00.05;;
Birat Hendri Waskito;m3 jaringan bagus paket promo nya sangat membantu;5;02/02/2024 02.57;82.00.05;;
Grobogan Grobogan;sangat ok sekali;5;02/02/2024 02.42;82.00.02;;
Ade Sistiawanto;Tidak bisa login karena OTP gak masuk;1;02/02/2024 02.34;82.00.05;;
Bang Yos;Terbaik;5;02/02/2024 02.34;82.00.05;;
Jojo Kiki;harga nya makin sini makin mahal da tidak dapat menukarkan Mpoint;3;02/02/2024 02.33;81.16.00;;
Hafor Zet;Masih lemot gw pakek wan wan di kata katain gara gara lag bintang 4 dulu bintang 5 kalo udah bisa 5G atau minimal 4G+ lah;4;02/02/2024 02.25;82.00.05;;
Niyat insun;Mahal sekarang cumak awal dulu murah semakin lama semakin mahal data habis belum sempat daftar paket pulsa hilang dulu saodaraku saya suruh pakek IM3 semua .sekarang mahal pulsa habis sendiri mau ganti kartu ajalah .;1;02/02/2024 02.21;82.00.05;;
Ardan Putra prinorma;Impoin ga pernah masuk ke akun, padahal udah 2x24jam dan 2 kali;4;02/02/2024 02.20;82.00.05;;
Uwunk Sick;mantap;5;02/02/2024 02.19;81.15.00;;
Vinno Valentino;oke;5;02/02/2024 02.18;82.00.05;;
panggabean Monalisa;makin bagus jaringannya;5;02/02/2024 02.13;82.00.02;;
Adriansyach Aprilio;Proses nya lama sekali beda dengan kalo pakai kode USSD;1;02/02/2024 02.06;82.00.05;;
AGUS NURJAMAN;semoga lebih sukses lagi;5;02/02/2024 02.04;81.16.00;;
a y putro;Sampai saat ini masih TOP ⭐⭐⭐⭐;5;02/02/2024 01.47;82.00.03;;
Wastam Ganteng;Uuh ke potong Mulu pls gw Males gw pake kartu Indosat lebih baik Telkomsel sekalian udh ke tahun kaga di Potong pls gw;1;02/02/2024 01.46;82.00.05;;
Msdalifah mw;Wahh harga Kouta Indosat bener² udah diluar nulur wkwkw harga semakin tinggi jumlah Kouta semakin menurun;3;02/02/2024 01.37;0;;
Ipul Epul;Nggak kartunya, aplikasinya, dan layanannya semuanya NGGAK NIAT JANGAN DI INSTAL/DOWNLOAD apk ga ada gunanya layanan ga nyambung terus mau ajukan keluhan di suruh isi udah malah ga bisa bisa dan kartu nya nyedot pulsa #JANGANPAKEMYM3;1;02/02/2024 01.33;82.00.05;;
Nurul Dina;baie goed;5;02/02/2024 01.33;82.00.05;;
Deril Ramadhani;oke;5;02/02/2024 01.29;82.00.05;;
Rotan Daveto Putra;Indoset babikk...mentang² batas hari pengen abis jaringan langsung ilang²an..bngst udah sering banget ngalamin kejadian yg kaya gini;1;02/02/2024 01.27;82.00.05;;
Abhi Rama;uhuy;4;02/02/2024 01.26;82.00.05;;
Najib Maulan;Paket internet (kuota) indosat sekrang mahal-mahal, semakin kesini, semakin mahal;1;02/02/2024 01.20;82.00.05;;
Noer Hanipah;𝒊𝒎𝟑 𝒕𝒉𝒆 𝒃𝒆𝒔𝒕 𝒑𝒐𝒌𝒐𝒆;5;02/02/2024 01.18;82.00.05;;
Langgeng21 Sinareng bagja;Kenapa gua paketin nelpon 5000 gagal mulu sedangkan gua lg butuh parah banget nih indosat sekrang Dan kenapa setiap isi pulsa Selalu di ambil sama oprator Gua pake indosat dari taun 2012 Jangan sampe gua ganti kartu ni Gara gara indosat potong pulsa tanpa sebab;1;02/02/2024 01.14;82.00.05;;
Wahyu Pratama;jaringan masih kurang stabil mohon diperbaiki lagi;4;02/02/2024 01.06;82.00.05;;
Nanda lismana;bagus;5;02/02/2024 01.03;82.00.05;;
Willy Yanhamisa;Harga naik jumlah paketan malah turun;2;02/02/2024 01.03;82.00.03;;
Nabila Amelia;jujur apl ini sangat bagus 😎👍;5;02/02/2024 01.03;81.16.00;;
Rinjani Putri Adara;mantap;5;02/02/2024 01.02;82.00.05;;
Stefanie Rufus;jaringan cukup stabil walaupun hujan;4;02/02/2024 01.02;81.16.00;;
Bil Holy;nyedot pulsa;1;02/02/2024 01.00;82.00.05;;
rani ag;bagus;5;02/02/2024 00.57;82.00.05;;
Kosim Phone;sangat baik terimakasih untuk layanan lm3;5;02/02/2024 00.49;81.16.00;;
Muhammad Reno saputra;Sangat baik aplikasi my m3 ini aku sampek di kasih kuota gratis 100 GB dan dikasih uwag tunai 10.000.000 juta kamu kapan mau donlowad may m3 sekarag bakso tanpa tepung ...... Bokep;5;02/02/2024 00.41;81.16.00;;
Adi FRLUBNQS;keren;5;02/02/2024 00.40;81.10.00;;
Agung Setiajii;semoga dapat kuota gratis;5;02/02/2024 00.32;82.00.05;;
Elfa tulong;baik;5;02/02/2024 00.26;81.16.00;;
Alfii Wardana;Mendingan;4;02/02/2024 00.18;82.00.05;;
Viky Lendeon;Operator TERBURUK saat ini....susah login aplikasi, jaringan jelek....pkoknya smua yg terburuk ada di INDOSAT;1;02/02/2024 00.12;82.00.05;;
Ochiem Redeye;Semoga tidak ada pencurian pulsa lagi.;4;02/02/2024 00.08;80.04.02;;
ZR SEMAT Eno;Paket nya mahal²;2;02/02/2024 00.04;0;;
Dede Ridwan;bagus cepat jaringan selalu terjaga bagus;5;02/02/2024 00.03;82.00.05;;
Apri Yadi;dua kali pulsa raib setelah make pinjam pulsa , begitu isi ulang lngsung kepotong dan masih ada sisa kok masih ilang sdang kn sudah ada laporan pemotongan pulsa, gak jelas.jdi males make pinjem2 pulsa lgi jadi nya gaje;1;01/02/2024 23.58;82.00.05;;
Efri Ramadhan Pratama Pratama;yg memuaskan;5;01/02/2024 23.55;0;;
budiyanto electronik;maaf bintang 1 dulu karena signal jelek di daerah saya hnya 1bar sering di silang x malahan .. nanti klo signal udh bagus di rubah ratingnya trims 🙏;1;01/02/2024 23.52;82.00.05;;
Zaharudin Din;aku ksh bintang lima;5;01/02/2024 23.45;81.16.00;;
Mahendra Pratama;Pemberian harga kuota kalian sangat jahat, 100rb dpt 50gb, 50rb masak 12gb, Strategi bisnis kalian itu jahat;1;01/02/2024 23.43;0;;
M.wildan m;terbaik;5;01/02/2024 23.39;82.00.05;;
Nuaiman Names;edset;5;01/02/2024 23.32;82.00.05;;
Syifa Maharani;puas pokonamah;5;01/02/2024 23.26;0;;
20_Ida Bagus Ade Artha Yoga;keliatan ada promo, pas beli pulsa promonya malah hilang. gajelas!!!;1;01/02/2024 23.15;82.00.05;;
BEATRIX radit;Nah pas;1;01/02/2024 23.11;82.00.02;;
Fadil Hidayat;Customer service nya gak memberikan kemudahan apapun, setiap ada keluhan jawabannya gak niat, pulsa kepotong yang disalahin malah pengguna, lagian ribet banget setiap beli pulsa harus matiin data dan ganti 2g sedangkan kalau pakai 2g aja aplikasi nya gak kebuka saran nya gak berguna sama sekali, bukannya bertanggungjawab malah nyalahin customer apa boleh se nyalahin orang begitu?!;1;01/02/2024 23.11;81.16.00;;
Yek Yok;Woii bodoh sinyal jangan goib;1;01/02/2024 23.03;0;;
